Created,ObjectId,Name,ModelName,DeviceId,OS,Instruction,Match,MatchScore,IsSource,ScreenHeight,ScreenWidth,__v,Length,TimeInterval,PauseBeforeStroke,NumEvents,DownTime,UpTime,PressureMax,PressureMin,PressureAvg,TouchSurfaceMax,TouchSurfaceMin,TouchSurfaceAvg,Width,Height,Area,RelativePosX,RelativePosY,TouchEventId,EventTime,X,Y,Pressure,TouchSurface,AngleZ,AngleX,AngleY
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad425,38907071,668,552,1,0.0196078438311815,5.832275390625,-1.71544551849365,7.88171195983887
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad424,38907073,665.021545410156,561.636108398438,1,0.0196078438311815,5.832275390625,-1.71544551849365,7.88171195983887
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad423,38907090,636.793823242188,639.968505859375,1,0.0176470596343279,5.9519853591919,-1.67234992980957,7.68538761138916
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad422,38907106,608.1982421875,713.404418945313,1,0.0196078438311815,5.9519853591919,-1.67234992980957,7.68538761138916
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad421,38907108,606,719,1,0.0176470596343279,5.36301183700562,-1.25575876235962,7.68538761138916
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad420,38907119,584,772,1,0.0196078438311815,5.36301183700562,-1.25575876235962,7.68538761138916
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad41f,38907123,577.133911132813,788.541015625,1,0.0196078438311815,5.36301183700562,-1.25575876235962,7.68538761138916
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad41e,38907140,542.162170410156,856.248657226563,1,0.0196078438311815,5.88015937805176,-1.25097036361694,7.51300477981567
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad41d,38907143,535,870,1,0.0156862754374743,5.99508094787598,-1.0259153842926,7.45554399490357
ISODate("2015-09-03T15:18:27.912Z"),55e864c31e0ea2a00c7ad292,031825417,Samsung SM-N910F,354201061483067,5.0.1,Please draw C,False,0,True,2560,1440,0,1020,366,1961,40,38906975,38907341,1,1,1,0.0196078438311815,0.00784313771873713,0.0168627458857372,776.646179199219,1660.48901367188,1289612.44807054,-453.581420898438,-942.702392578125,55e864c31e0ea2a00c7ad41c,38907156,512,919,1,0.0176470596343279,5.99508094787598,-1.0259153842926,7.45554399490357
